'GMZP0.label_difference_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lagSource_coordinate' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lagSource_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lagSource_self' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lagSource_eq_self_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lagSource_collision' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.collision_in_lagSources' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalKernel_lag_weighted_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalGram_action_labels' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalGram_offDiagonal_labels' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalGram_offDiagonal_original_phase' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.lagLabels_empty_of_large_lag' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.mem_lagPairDomain_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.integer_label_pair_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.sum_blockFinLabels' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.label_difference_ne_zero_iff' depends on axioms: [propext, Quot.sound]
'GMZP0.distinct_label_pair_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.originalFieldExtension_vertical_outside' depends on axioms: [propext, Quot.sound]
'GMZP0.originalFieldExtension_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.originalFieldExtension_lagSource' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.originalFieldExtension_blockTarget' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.originalLagSummand_labels' depends on axioms: [propext, Classical.choice, Quot.sound]
'GMZP0.horizontalGram_offDiagonal_lag' depends on axioms: [propext, Classical.choice, Quot.sound]
